observation_date,LNU05026645_CLF16OV
1994-01-01,0.45943
1994-02-01,0.37423
1994-03-01,0.40874
1994-04-01,0.38432
1994-05-01,0.33339
1994-06-01,0.40747
1994-07-01,0.41484
1994-08-01,0.37250
1994-09-01,0.39644
1994-10-01,0.34916
1994-11-01,0.33892
1994-12-01,0.33725
1995-01-01,0.33324
1995-02-01,0.33229
1995-03-01,0.34366
1995-04-01,0.29037
1995-05-01,0.30186
1995-06-01,0.27586
1995-07-01,0.34456
1995-08-01,0.30982
1995-09-01,0.25714
1995-10-01,0.31044
1995-11-01,0.30238
1995-12-01,0.32073
1996-01-01,0.30841
1996-02-01,0.34223
1996-03-01,0.33864
1996-04-01,0.30208
1996-05-01,0.26334
1996-06-01,0.30966
1996-07-01,0.31500
1996-08-01,0.30958
1996-09-01,0.29067
1996-10-01,0.27720
1996-11-01,0.25628
1996-12-01,0.24720
1997-01-01,0.29308
1997-02-01,0.26883
1997-03-01,0.26197
1997-04-01,0.27864
1997-05-01,0.24831
1997-06-01,0.25916
1997-07-01,0.22788
1997-08-01,0.22764
1997-09-01,0.23999
1997-10-01,0.22103
1997-11-01,0.24167
1997-12-01,0.25154
1998-01-01,0.27280
1998-02-01,0.26329
1998-03-01,0.24993
1998-04-01,0.25082
1998-05-01,0.19509
1998-06-01,0.22626
1998-07-01,0.27183
1998-08-01,0.20353
1998-09-01,0.22924
1998-10-01,0.24082
1998-11-01,0.22402
1998-12-01,0.25823
1999-01-01,0.24388
1999-02-01,0.19501
1999-03-01,0.21264
1999-04-01,0.17631
1999-05-01,0.18403
1999-06-01,0.15790
1999-07-01,0.20798
1999-08-01,0.19006
1999-09-01,0.20699
1999-10-01,0.19389
1999-11-01,0.19425
1999-12-01,0.19047
2000-01-01,0.16589
2000-02-01,0.18743
2000-03-01,0.18114
2000-04-01,0.23187
2000-05-01,0.19665
2000-06-01,0.21670
2000-07-01,0.18696
2000-08-01,0.14244
2000-09-01,0.17752
2000-10-01,0.16267
2000-11-01,0.16508
2000-12-01,0.18779
2001-01-01,0.20932
2001-02-01,0.19972
2001-03-01,0.24249
2001-04-01,0.24309
2001-05-01,0.22886
2001-06-01,0.20508
2001-07-01,0.21580
2001-08-01,0.23520
2001-09-01,0.19793
2001-10-01,0.22972
2001-11-01,0.22740
2001-12-01,0.24116
2002-01-01,0.22796
2002-02-01,0.25924
2002-03-01,0.22840
2002-04-01,0.22111
2002-05-01,0.28564
2002-06-01,0.23617
2002-07-01,0.27969
2002-08-01,0.26067
2002-09-01,0.26932
2002-10-01,0.24705
2002-11-01,0.26544
2002-12-01,0.27780
2003-01-01,0.30767
2003-02-01,0.30801
2003-03-01,0.32461
2003-04-01,0.29835
2003-05-01,0.32901
2003-06-01,0.32505
2003-07-01,0.32085
2003-08-01,0.34347
2003-09-01,0.26479
2003-10-01,0.31489
2003-11-01,0.31088
2003-12-01,0.29510
2004-01-01,0.29419
2004-02-01,0.32990
2004-03-01,0.34979
2004-04-01,0.33504
2004-05-01,0.32367
2004-06-01,0.32416
2004-07-01,0.34125
2004-08-01,0.36188
2004-09-01,0.27948
2004-10-01,0.29027
2004-11-01,0.26458
2004-12-01,0.29853
2005-01-01,0.34790
2005-02-01,0.32690
2005-03-01,0.32347
2005-04-01,0.26389
2005-05-01,0.26263
2005-06-01,0.31895
2005-07-01,0.33393
2005-08-01,0.25638
2005-09-01,0.24141
2005-10-01,0.26133
2005-11-01,0.26922
2005-12-01,0.30061
2006-01-01,0.26362
2006-02-01,0.25624
2006-03-01,0.29905
2006-04-01,0.25252
2006-05-01,0.21381
2006-06-01,0.31780
2006-07-01,0.28274
2006-08-01,0.29529
2006-09-01,0.21429
2006-10-01,0.21770
2006-11-01,0.22899
2006-12-01,0.17940
2007-01-01,0.28862
2007-02-01,0.24513
2007-03-01,0.24894
2007-04-01,0.26175
2007-05-01,0.24104
2007-06-01,0.26202
2007-07-01,0.23978
2007-08-01,0.25663
2007-09-01,0.17991
2007-10-01,0.20890
2007-11-01,0.22687
2007-12-01,0.23584
2008-01-01,0.30312
2008-02-01,0.25772
2008-03-01,0.26055
2008-04-01,0.26793
2008-05-01,0.25923
2008-06-01,0.27217
2008-07-01,0.29844
2008-08-01,0.24638
2008-09-01,0.30213
2008-10-01,0.31251
2008-11-01,0.39317
2008-12-01,0.41512
2009-01-01,0.47597
2009-02-01,0.47302
2009-03-01,0.44442
2009-04-01,0.47894
2009-05-01,0.51180
